date,max_temp,min_temp
2026-09-06,3.2,-7.3
2026-09-07,6.5,-5.9
2026-09-08,8.3,-2.0
2026-09-09,7.3,-1.7
2026-09-10,6.0,-3.6
2026-09-11,-4.1,-7.7
2026-09-12,-3.1,-11.6
